,Nama Barang,Harga,Terjual,Rating,Lokasi,Label
0,Indomie Satuan/Lusinan/Karton,Rp2.900,Terjual 8 rb+,4.9,Jakarta Selatan,yes
1,indomie goreng 5 pc - goreng rica,Rp15.800,Terjual 100+,5,Kab. Bekasi,yes
2,Indomie Goreng 1 Dus Isi 40 pcs 85G,Rp115.000,Terjual 500+,5,Tangerang Selatan,yes
3,INDOMIE GORENG INSTAN 85 GRAM,Rp2.900,Terjual 10 rb+,4.8,Jakarta Barat,yes
4,INDOMIE GORENG - ALL VARIANT - PCS/DOZEN/CARTON,Rp3.100,Terjual 3 rb+,4.9,Jakarta Selatan,yes
5,INDOMIE MIE GORENG SPECIAL INDOMIE GORENG,Rp2.850,Terjual 10 rb+,4.9,Jakarta Timur,yes
6,INDOMIE MIE RASA SOTO MIE 70GR,Rp2.650,Terjual 5 rb+,5,Jakarta Timur,yes
7,4+1 pcs Indomie Goreng Spesial,Rp15.000,Terjual 1 rb+,4.9,Tangerang Selatan,yes
8,INDOMIE MIE GORENG SPESIAL 1DUS 40pcs,Rp123.000,Terjual 750+,5,Dilayani Tokopedia,yes
9,indomie goreng 1dus 40pcs,Rp110.000,Terjual 1 rb+,5,Tangerang,yes
10,Paket Bundling Indomie Mie Instant Rasa Soto Pcs Isi 4,Rp12.200,Terjual 7 rb+,4.9,Tangerang,yes
11,Paket Bundling Indomie Kuah,Rp59.600,Terjual 6 rb+,4.9,Tangerang,yes
12,INDOMIE MIE RASA KALDU AYAM,Rp2.525,Terjual 10 rb+,5,Jakarta Utara,yes
13,INDOMIE AYAM BAWANG INDOMIE MIE RASA AYAM BAWANG,Rp2.550,Terjual 7 rb+,4.9,Jakarta Timur,yes
14,mie instant Indomie goreng rasa cakalang,Rp3.000,Terjual 7 rb+,4.9,Jakarta Barat,yes
15,INDOMIE AYAM BAWANG 69 GRAM,Rp2.800,Terjual 10 rb+,4.8,Jakarta Barat,yes
16,INDOMIE MIE GORENG 5 PCS,Rp14.500,Terjual 500+,4.8,Jakarta Barat,yes
17,INDOMIE RASA MIE KOCOK BANDUNG 75 GRAM,Rp3.000,Terjual 3 rb+,4.4,Jakarta Barat,yes
18,Indomie Mie Instant / Goreng / Soto / Ayam Bawang / Kari /Ayam Spesial,Rp1.872,Terjual 9 rb+,4.9,Jakarta Pusat,yes
19,INDOMIE KARI AYAM 5 PCS,Rp14.500,Terjual 250+,4.9,Jakarta Barat,yes
20,SBM ~ INDOFOOD Indomie All Varian | PER 1 PCS,Rp2.887,Terjual 1 rb+,4.9,Jakarta Barat,yes
21,INDOMIE MIE RASA KARI AYAM,Rp2.900,Terjual 10 rb+,5,Jakarta Utara,yes
22,Indomie Goreng,Rp3.000,Terjual 10 rb+,4.9,Tangerang Selatan,yes
23,Indomie Soto Paket 10 Pcs,Rp29.500,Terjual 250+,4.8,Jakarta Barat,yes
24,Paket Bundling Indomie Campur,Rp77.200,Terjual 3 rb+,4.9,Tangerang,yes
25,Indomie soto 70gr,Rp2.800,Terjual 10 rb+,4.9,Bekasi,yes
26,10 Pcs - Indomie Goreng Spesial,Rp33.500,Terjual 10 rb+,4.9,Tangerang Selatan,yes
27,INDOMIE MIE KUAH KARI AYAM 72 GR,Rp2.980,Terjual 6 rb+,5,Jakarta Barat,yes
28,Indomie Kuah Rasa Kaldu Ayam Dus,Rp106.800,Terjual 500+,4.9,Tangerang,yes
29,INDOMIE MIE KUAH AYAM BAWANG 69 GR,Rp2.890,Terjual 4 rb+,4.9,Jakarta Selatan,yes
